"","adoption.dateTRUE","med_sch_yrTRUE","meetingsTRUE","joursTRUE","free_timeTRUE","discussTRUE","clubsTRUE","friendsTRUE","communityTRUE","patientsTRUE","proximityTRUE","specialty2","specialty3","specialty4"
"1",0,0,1,1,1,0,0,0,1,1,1,0,1,0
"2",1,1,0,1,0,1,0,1,0,1,1,0,0,0
"3",0,1,0,1,0,0,0,1,1,1,0,1,0,0
"4",0,1,0,1,1,0,0,0,1,0,1,0,0,0
"5",0,1,0,0,1,1,0,0,1,0,0,0,0,0
"6",0,0,0,1,0,1,0,0,1,1,1,1,0,0
"7",1,0,0,0,1,1,0,0,1,1,0,0,0,0
"8",0,1,0,1,0,1,0,0,1,1,0,0,0,0
"9",1,0,1,1,1,0,0,0,1,0,0,0,1,0
"10",0,1,0,0,0,0,0,1,1,1,1,0,0,0
"11",0,0,1,1,0,1,0,0,1,1,1,1,0,0
"12",0,1,0,0,1,1,0,0,1,1,0,0,0,0
"13",0,1,0,1,1,0,0,0,0,0,1,0,0,0
"14",1,1,0,0,0,1,0,1,1,1,1,0,0,0
"15",0,1,0,1,0,1,0,0,1,1,0,0,0,0
"16",1,1,1,1,1,0,0,0,0,0,0,1,0,0
"17",1,1,0,0,1,0,0,0,1,1,0,0,0,0
"18",0,1,0,1,1,1,0,0,1,1,1,0,0,0
"19",1,0,0,0,0,0,0,0,1,0,1,1,0,0
"20",0,1,1,1,1,0,0,0,1,0,1,1,0,0
"21",0,1,1,0,0,1,0,0,1,1,0,0,1,0
"22",0,1,1,0,0,1,1,1,0,1,0,0,1,0
"23",0,1,1,1,0,1,0,1,1,1,0,0,1,0
"24",0,1,0,1,1,1,0,0,0,1,0,1,0,0
"25",0,1,0,0,0,1,1,1,0,1,0,0,0,0
"26",0,0,0,0,0,1,0,0,1,1,0,0,0,0
"27",0,1,1,1,0,1,1,0,1,1,1,0,1,0
"28",0,1,1,1,0,0,0,0,1,0,0,1,0,0
"29",0,0,1,1,1,1,0,0,1,1,0,1,0,0
"30",1,1,0,0,0,0,0,1,0,1,0,0,0,0
"31",0,1,0,1,0,0,0,1,1,1,0,1,0,0
"32",0,0,0,1,1,0,0,0,1,0,1,1,0,0
"33",0,1,0,0,1,1,0,1,1,1,0,0,0,0
"34",1,0,0,0,1,1,0,0,1,0,0,0,0,0
"35",0,1,0,1,0,0,0,1,1,1,1,0,0,0
"36",0,0,0,1,0,0,0,1,1,1,0,1,0,0
"37",0,1,1,1,1,0,0,1,1,0,1,1,0,0
"38",1,0,0,0,1,0,0,0,1,0,0,0,0,0
"39",1,0,0,0,1,0,0,1,1,1,0,0,0,0
"40",1,1,1,1,0,1,0,1,0,0,1,0,0,1
"41",1,0,1,1,1,1,0,0,1,0,1,0,0,1
"42",1,0,1,1,0,1,0,1,1,1,1,0,0,1
"43",1,0,1,0,0,0,0,0,1,1,1,0,0,1
"44",1,1,1,1,0,0,0,1,0,0,1,0,0,1
"45",1,0,1,1,1,1,0,0,1,1,1,0,0,1
"46",1,0,1,1,1,0,0,0,1,0,1,0,0,1
"47",1,0,1,1,1,0,0,0,1,0,1,0,0,1
"48",1,0,0,0,0,0,0,0,1,1,0,0,0,1
"49",1,0,1,0,1,0,0,0,1,0,1,0,0,1
"50",1,1,1,1,0,1,0,0,1,1,1,0,0,1
"51",1,1,1,1,1,1,0,0,1,1,1,0,0,1
"52",1,1,1,1,1,0,0,0,1,1,0,0,0,1
"53",1,0,1,0,0,1,0,1,1,1,0,0,0,1
"54",1,1,1,1,0,0,0,0,0,0,0,0,0,1
"55",1,0,1,1,1,0,1,0,1,0,1,0,0,1
"56",1,0,1,0,1,0,0,0,1,0,1,0,0,1
"57",1,0,0,1,1,1,0,0,1,1,0,0,0,1
"58",0,0,0,0,0,1,0,1,1,1,0,0,0,1
"59",1,1,0,1,1,1,0,1,0,0,0,0,0,1
"60",1,1,1,0,0,1,0,1,0,0,1,0,0,1
"61",1,1,1,1,0,1,1,1,1,1,0,0,0,1
"62",1,1,0,1,1,1,0,0,0,0,0,0,0,1
"63",1,1,1,1,1,0,0,0,0,1,1,0,0,1
"64",1,1,0,1,0,0,0,1,0,0,0,0,0,1
"65",1,1,0,0,0,1,0,1,0,1,0,0,0,1
"66",1,1,1,1,0,1,1,1,0,1,1,0,0,1
"67",1,1,0,1,1,0,0,0,0,0,0,0,0,1
"68",1,1,1,0,1,0,0,0,0,0,1,0,0,1
"69",1,1,0,0,1,0,0,0,0,1,1,0,0,1
"70",1,0,0,1,1,1,0,0,1,0,1,1,0,0
"71",1,1,0,0,1,0,0,0,1,0,0,0,0,0
"72",0,0,0,0,1,0,0,0,1,1,0,0,0,0
"73",0,0,0,1,1,1,0,0,1,1,0,0,0,0
"74",0,1,1,1,1,0,1,0,1,1,0,0,1,0
"75",0,0,1,1,0,0,0,0,1,0,0,0,1,0
"76",0,1,1,1,0,1,0,0,1,1,1,0,0,0
"77",1,0,0,0,1,0,0,0,1,1,0,0,0,0
"78",0,1,0,1,0,1,0,0,1,1,0,1,0,0
"79",1,0,0,1,1,0,0,0,1,0,1,1,0,0
"80",1,1,1,1,0,1,0,1,1,1,0,0,0,1
"81",1,1,0,1,1,1,0,0,0,0,1,0,0,1
"82",1,1,0,0,0,1,0,1,0,0,1,0,0,1
"83",1,1,1,1,0,0,0,1,0,0,0,0,0,1
"84",1,0,1,0,1,0,0,0,1,0,0,0,0,1
"85",1,0,0,1,1,1,0,0,0,0,0,0,0,1
"86",0,1,0,1,1,0,0,0,1,0,0,0,1,0
"87",0,0,1,1,0,1,0,0,1,0,1,0,1,0
"88",0,0,1,1,1,0,0,0,1,0,0,1,0,0
"89",0,1,0,1,1,1,0,0,1,0,1,1,0,0
"90",0,1,0,1,0,0,0,1,1,0,1,1,0,0
"91",1,1,0,0,0,0,0,0,1,0,0,1,0,0
"92",0,0,0,0,1,1,0,0,0,0,0,0,0,0
"93",0,1,0,1,1,1,0,0,0,0,1,1,0,0
"94",1,0,1,1,1,0,0,0,1,1,0,0,0,1
"95",1,1,1,1,1,1,0,0,0,0,1,0,0,1
"96",1,0,1,1,0,0,0,0,1,0,1,0,0,1
"97",1,1,1,1,1,1,0,0,0,0,1,0,0,1
"98",1,1,0,0,0,1,0,1,0,0,0,0,0,1
"99",1,1,0,1,1,0,0,0,0,1,1,0,0,1
"100",1,0,1,1,0,0,0,0,1,0,1,0,0,1
"101",1,0,0,0,1,0,0,0,1,1,0,0,0,0
"102",1,0,0,0,1,0,0,0,1,1,0,0,0,0
"103",1,0,0,0,0,0,0,1,1,0,0,0,0,1
"104",1,1,0,0,1,0,0,0,0,0,0,0,0,1
"105",1,1,0,0,1,0,0,0,0,0,0,0,0,1
"106",1,1,0,0,1,0,0,0,0,0,0,0,0,1
